feature,mean_before_scaling,std_before_scaling,mean_after_scaling,std_after_scaling
restaurant_count,1036.85,1321.2203553911816,2.4980018054066023e-17,1.0
cafe_count,431.2,498.15214543350106,0.0,0.9999999999999999
bar_count,217.45,293.8131166234754,1.9428902930940238e-17,1.0
museum_count,42.1,43.15309954105267,-2.7755575615628914e-17,1.0
park_count,169.25,203.91661898923294,2.7755575615628915e-18,1.0
nearby_beach_count,23.3,24.12902816111747,1.6653345369377347e-17,1.0
summer_avg_temp,22.910999999999994,3.549829432522076,1.6986412276764896e-15,0.9999999999999998
summer_avg_daily_rain,1.7909999999999997,1.2250097958792003,2.55351295663786e-16,1.0
