destination_name,country,restaurant_count,cafe_count,bar_count,museum_count,park_count,nearby_beach_count,summer_avg_temp,summer_avg_daily_rain
Kefalonia,Greece,-0.6803180077662913,-0.7592058038230137,-0.637990577664438,-0.7902097499986017,-0.8054762815024538,1.728208849587947,1.1547033675608909,-1.2661123243400951
Santorini,Greece,-0.5561903409991201,-0.7150425894282324,-0.5597095251902738,-0.6279966048375984,-0.8103802466866391,0.02901070011298709,1.0561070809918953,-1.3722339247038682
Funchal,Portugal,-0.35713194856152247,-0.2513288382830283,0.2401186196544471,-0.25722370161244806,-0.6436454304243352,-0.42687173023395336,-0.13549946811338892,-0.02530592008674569
Mallorca,Spain,-0.11493162316216418,0.5817499787094378,-0.04577739807728293,-0.512130072579739,1.102166175145671,2.0183158507178183,0.9406085738682153,-0.6946883223813157
Sardinia,Italy,-0.5206171682060894,-0.3356404294003381,-0.699254010035523,-0.09501055645144481,1.3424604691707562,-0.012433157191280223,0.8927189489632743,-1.2824387243960602
Dubrovnik,Croatia,-0.6326348187032925,-0.7391316154617494,-0.515463712922268,-0.5584766854828828,-0.7319168037396726,0.44344927315566024,0.6532708244385724,0.21959008075273118
Split,Croatia,-0.6016029020114998,-0.22723981224951123,-0.4439897084893355,-0.5584766854828828,-0.28075200679461476,1.976871993413551,0.8899019122041607,0.24407968083667872
Lisbon,Portugal,1.5486818619246783,2.0812918492958765,0.48517234913878715,1.6198141209648755,1.4552516684070207,0.23622998663432365,-0.10732910052224706,-1.1844803240602693
Barcelona,Spain,2.2397096653297224,2.4426272397986333,3.0752541288274364,1.2490412177397252,3.029424492530538,-0.3025401583211514,0.5208700967602078,-0.1804067206184143
Nice,France,-0.12401413536464012,-0.3818110626312459,-0.2431817912730013,-0.39626354032187944,-0.16796080755835033,1.313770276545274,0.4870656556508378,-0.7763203226611414
Amalfi,Italy,-0.6530704711588634,-0.7832948298565308,-0.6243764815819747,-0.720689830643886,-0.6828771518978185,-0.21965244371261677,0.7884885888760516,-0.4008131213739435
Cinque Terre,Italy,-0.5312134324423112,-0.6889461445585888,-0.413357992303793,-0.6279966048375984,-0.6289335348717789,0.4020054158513929,0.3912864058409568,0.6440764822078244
Interlaken,Switzerland,-0.7052949163231,-0.8334803007596914,-0.6822363899324438,-0.9060762822564612,-0.7417247341080434,-0.5926471594510226,-0.8059542167825556,2.848140489763116
Zermatt,Switzerland,-0.7068086683568461,-0.8415099761041971,-0.7026575340561388,-0.929249588708033,-0.82018817705501,-0.9656418751894285,-2.991974741855134,-0.22938592078630973
Lake Bled,Slovenia,-0.7476799732679877,-0.8234432065790592,-0.7128681061179863,-0.9524228951596049,-0.8103802466866391,-0.8827541605808938,-0.7017238566953319,1.4359068849221326
Prague,Czech Republic,0.3444921190797436,0.6419725437932305,0.4987864452212505,1.782027266125879,0.07723745165092022,-0.9656418751894285,-0.6143957171627937,0.30938528106053925
Vienna,Austria,0.46710603381316873,0.5596683715120472,0.4511371089326288,2.0369336370931697,0.6215775870955008,-0.9241980178851611,-0.250997975237069,0.05632608019308
Budapest,Hungary,-0.7484368492848608,-0.8214357877429328,-0.7332892502416813,-0.7902097499986017,-0.32979165863646887,-0.9656418751894285,0.10394865641131396,0.03999968013711486
Paris,France,2.705945291723487,1.6517042183648218,2.3434964643950322,1.295387830642869,0.09685331238766187,-0.9656418751894285,-0.8087712535416702,0.9379516832151965
Amsterdam,Netherlands,0.3740102837377904,0.24249619540407208,-0.07981263828344126,0.7392284758051434,-0.27094407642624396,-0.9241980178851611,-1.4623237816561523,0.6767292823197547
