cluster,restaurant_count,cafe_count,bar_count,museum_count,park_count,nearby_beach_count,summer_avg_temp,summer_avg_daily_rain,food_score,nightlife_score,culture_score,nature_score,beach_score,overall_score,destination_count
0,2967.4,1166.2,620.2,111.0,384.6,9.2,22.02,1.78,70.47,55.32,85.38,48.87,12.78,54.56,5
1,393.33,186.2,83.2,19.13,97.47,28.0,23.21,1.8,9.88,7.42,14.72,12.38,38.89,16.66,15
